syl,son,cons,cont,delrel,lat,nas,strid,voi,sg,cg,ant,cor,distr,lab,hi,lo,back,round,velaric,tense,long,hitone,hireg,all_variants,selected
+,+,+,+,-,+,-,-,+,-,-,+,+,+,-,-,-,-,-,-,0,-,0,0,l̪̩,l̪̩
+,+,+,+,-,+,-,-,+,-,-,+,+,-,-,-,-,-,-,-,0,-,0,0,l̩,l̩
+,+,+,+,-,-,-,-,+,-,-,-,-,0,-,-,-,+,-,-,0,-,0,0,ɦ̩,ɦ̩
+,+,+,+,-,-,-,-,-,-,-,-,-,0,-,-,-,+,-,-,0,-,0,0,h̩,h̩
+,+,+,+,0,+,-,-,+,-,-,+,+,-,-,-,-,-,-,-,0,-,0,0,ɫ̩,ɫ̩
+,+,+,+,0,+,-,-,+,-,-,+,+,-,-,0,0,-,-,-,0,-,0,0,ɺ̩,ɺ̩
+,+,+,+,0,+,-,-,+,-,-,-,+,+,-,+,-,-,-,-,0,-,0,0,ʎ̩,ʎ̩
+,+,+,+,0,+,-,-,+,-,-,-,+,-,-,0,0,-,-,-,0,-,0,0,ɭ̩,ɭ̩
+,+,+,+,0,+,-,-,+,-,-,-,-,0,-,+,-,+,-,-,0,-,0,0,ʟ̩,ʟ̩
+,+,+,+,0,-,-,-,+,-,-,+,+,+,-,0,0,-,-,-,0,-,0,0,r̪̩,r̪̩
+,+,+,+,0,-,-,-,+,-,-,+,+,-,-,0,0,-,-,-,0,-,0,0,"r̩, ɾ̩",r̩
+,+,+,+,0,-,-,-,+,-,-,+,-,0,+,0,0,-,-,-,0,-,0,0,ʙ̩,ʙ̩
+,+,+,+,0,-,-,-,+,-,-,-,+,-,-,0,0,-,-,-,0,-,0,0,ɽ̩,ɽ̩
+,+,+,+,0,-,-,-,+,-,-,-,-,0,-,-,-,+,-,-,0,-,0,0,ʀ̩,ʀ̩
+,+,+,-,-,-,+,-,+,-,-,+,+,+,-,-,-,-,-,-,0,-,0,0,n̪̩,n̪̩
+,+,+,-,-,-,+,-,+,-,-,+,+,-,-,-,-,-,-,-,0,-,0,0,n̩,n̩
+,+,+,-,-,-,+,-,+,-,-,+,-,0,+,-,-,-,-,-,0,-,0,0,m̩,m̩
+,+,+,-,-,-,+,-,+,-,-,-,+,0,-,-,-,-,-,-,0,-,0,0,ɳ̩,ɳ̩
+,+,+,-,-,-,+,-,+,-,-,-,-,0,-,+,-,+,-,-,0,-,0,0,ŋ̩,ŋ̩
+,+,+,-,-,-,+,-,+,-,-,-,-,0,-,+,-,-,-,-,0,-,0,0,ɲ̩,ɲ̩
+,+,+,-,-,-,+,-,+,-,-,-,-,0,-,-,-,+,-,-,0,-,0,0,ɴ̩,ɴ̩
+,+,+,-,0,-,+,-,+,-,-,+,-,0,+,0,0,-,-,-,0,-,0,0,ɱ̩,ɱ̩
+,+,-,+,-,-,+,-,+,-,+,0,-,0,+,+,-,+,+,-,+,-,0,0,ṵ̃,ṵ̃
+,+,-,+,-,-,+,-,+,-,+,0,-,0,+,+,-,-,+,-,+,-,0,0,ỹ̰,ỹ̰
+,+,-,+,-,-,+,-,+,-,+,0,-,0,-,+,-,+,+,-,-,-,0,0,ʊ̰̃,ʊ̰̃
+,+,-,+,-,-,+,-,+,-,+,0,-,0,-,+,-,+,-,-,+,-,0,0,ɨ̰̃,ɨ̰̃
+,+,-,+,-,-,+,-,+,-,+,0,-,0,-,+,-,+,-,-,-,-,0,0,ɯ̰̃,ɯ̰̃
+,+,-,+,-,-,+,-,+,-,+,0,-,0,-,+,-,-,+,-,-,-,0,0,ʏ̰̃,ʏ̰̃
+,+,-,+,-,-,+,-,+,-,+,0,-,0,-,+,-,-,-,-,+,-,0,0,ḭ̃,ḭ̃
+,+,-,+,-,-,+,-,+,-,+,0,-,0,-,+,-,-,-,-,-,-,0,0,ɪ̰̃,ɪ̰̃
+,+,-,+,-,-,+,-,+,-,+,0,-,0,-,-,+,+,+,-,+,-,0,0,ɒ̰̃,ɒ̰̃
+,+,-,+,-,-,+,-,+,-,+,0,-,0,-,-,+,+,-,-,+,-,0,0,ã̰,ã̰
+,+,-,+,-,-,+,-,+,-,+,0,-,0,-,-,+,-,+,-,+,-,0,0,ɶ̰̃,ɶ̰̃
